Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Type,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID,tipo
3D glasses,White,No,490,122,White,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,party,AccessoryEye,Yes,For sale,AccessoryGlassThreed0,4463,FNxEraBTeWRiCvtFu,ACCESORIOS
3D glasses,Black,No,490,122,Black,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,party,AccessoryEye,Yes,For sale,AccessoryGlassThreed1,11020,mM9SXPCcGPfPJAmtm,ACCESORIOS
bandage,Beige,No,140,35,Beige,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Active,outdoorsy; comfy; sporty,AccessoryMouth,No,For sale,AccessoryMouthBandageSkin,4677,2qFT5iPkk8bREvpkj,ACCESORIOS
beak,Yellow,No,490,122,Yellow,Yellow,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,AccessoryMouthBeakYellow,3549,T5CpsJi4xBSachNL5,ACCESORIOS
birthday shades,Yellow,No,NFS,620,Yellow,Red,1x1,,Birthday,,All Year,No,1.0.0,Gorgeous,party,AccessoryEye,Yes,Not for sale,AccessoryGlassBirthday0,4510,S6CiB9ZvzBTMhEnDz,ACCESORIOS
birthday shades,Pink,No,NFS,620,Pink,Pink,1x1,,Birthday,,All Year,No,1.0.0,Gorgeous,party,AccessoryEye,Yes,Not for sale,AccessoryGlassBirthday1,11217,g3MPcmAKM4z5h8KYX,ACCESORIOS
birthday shades,Red,No,NFS,620,Red,Pink,1x1,,Birthday,,All Year,No,1.0.0,Gorgeous,party,AccessoryEye,Yes,Not for sale,AccessoryGlassBirthday2,11218,ojXoAAj8Bs2XgRiWB,ACCESORIOS
birthday shades,Blue,No,NFS,620,Light blue,Green,1x1,,Birthday,,All Year,No,1.0.0,Gorgeous,party,AccessoryEye,Yes,Not for sale,AccessoryGlassBirthday3,11219,Yr9mRJaZM44554oTS,ACCESORIOS
bottom-rimmed glasses,Red,No,1100,275,Red,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday; comfy; work,AccessoryEye,Yes,For sale,AccessoryGlassLoose0,4597,ZHqtvcoqqDpJLf9Pc,ACCESORIOS
bottom-rimmed glasses,Purple,No,1100,275,Purple,Purple,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday; comfy; work,AccessoryEye,Yes,For sale,AccessoryGlassLoose1,11081,akRhFD3qeJEPM7WiD,ACCESORIOS
