Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Version,Style,Label Themes,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID,tipo
acorn pochette,Brown,Yes,NFS,2400,Brown,Green,1x1,,Crafting,,All Year,1.0.0,Cute,fairy tale,No,Not for sale,BagShoulderAcorn0,7492,XiC7bNzTBAdb8zWwr,BAGS
basket pack,Green,Yes,NFS,2400,Green,Green,1x1,,Crafting,,All Year,1.0.0,Simple,outdoorsy; work,No,Not for sale,BagBackpackBasket0,7506,BW764rj9aH3QL6GRH,BAGS
bug cage,Green,No,NFS,122,Green,White,1x1,,Bug-Off,,All Year,1.0.0,Active,outdoorsy; vacation,No,Not for sale,BagShoulderCage0,7479,nrkEKkL46YsQYcYjp,BAGS
Bunny Day bag,,Yes,NFS,2400,Colorful,Colorful,1x1,,Crafting,,All Year,1.1.0a,Active,fairy tale; party; theatrical,No,Not for sale,BagBackpackEgg0,12447,YGofzAZknSTYWmfWM,BAGS
butterfly backpack,Pink,No,NFS,210,Pink,Yellow,1x1,,Bug-Off,,All Year,1.0.0,Cute,everyday; formal; party,No,Not for sale,BagBackpackButterfly0,7502,unsmeHZemRaTnq62z,BAGS
canvas backpack,White,No,1300,325,White,Orange,1x1,,Kicks,,All Year,1.0.0,Simple,everyday,No,For sale,BagBackpackTote0,7509,ZtgYddBwpZfGMjewu,BAGS
cherry-blossom pochette,Pink,Yes,NFS,2400,Pink,Pink,1x1,,Crafting,,All Year,1.0.0,Cute,fairy tale,No,Not for sale,BagShoulderCherryblossoms0,7490,wwkZdhj9HzxZiqHys,BAGS
cloth shoulder bag,Blue,No,1400,350,Light blue,Light blue,1x1,,Kicks,,All Year,1.0.0,Simple,everyday,No,For sale,BagShoulderCanvas0,7487,DzoRrArWrKtzn6Xzc,BAGS
cloth shoulder bag,Orange,No,1400,350,Orange,Orange,1x1,,Kicks,,All Year,1.0.0,Simple,everyday,No,For sale,BagShoulderCanvas1,12013,dcpCgBwji4QCYAy8k,BAGS
cloth shoulder bag,Ivory,No,1400,350,White,White,1x1,,Kicks,,All Year,1.0.0,Simple,everyday,No,For sale,BagShoulderCanvas2,12014,NfkYKg5NoaWKBEpzN,BAGS
crossbody bag,Pink,No,700,175,Pink,Black,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackBody0,7483,zXtyCFHwWjnChTami,BAGS
crossbody bag,Green,No,700,175,Green,Black,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackBody1,11980,tbfNwy8RmGztJdAnn,BAGS
crossbody bag,Yellow,No,700,175,Yellow,Black,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackBody2,11981,zX6ZX4puTojGuJgGj,BAGS
crossbody bag,White,No,700,175,White,Black,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackBody3,11982,FsyHb5QAf8DDvPC7y,BAGS
crossbody boston bag,Red,No,1680,420,Red,Black,1x1,,Kicks,,All Year,1.0.0,Simple,everyday; outdoorsy; sporty,No,For sale,BagShoulderDrum0,7485,8MwDxuHHvYM3XJpmy,BAGS
crossbody boston bag,Blue,No,1680,420,Blue,Black,1x1,,Kicks,,All Year,1.0.0,Simple,everyday; outdoorsy; sporty,No,For sale,BagShoulderDrum1,12011,w98ZrTQWiRMHyveaa,BAGS
DAL backpack,Blue,No,NFS,1010,Blue,Black,1x1,,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,All Year,1.0.0,Cool,outdoorsy; vacation,No,Not for sale,BagBackpackDal0,12131,3mGmqSPj5YPujiDgD,BAGS
dry bag,Yellow,No,1040,260,Yellow,Black,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackDry0,7471,iwTpuxykXjSBi8b9a,BAGS
dry bag,Blue,No,1040,260,Blue,Black,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackDry1,11964,cMoNDoZx2sdfD6Haz,BAGS
evening bag,Pink,No,1250,312,Pink,Yellow,1x1,,Kicks,,All Year,1.0.0,Cute,formal; party,No,For sale,BagShoulderParty0,7305,tZhGqzKpEeEweTZi7,BAGS
evening bag,Blue,No,1250,312,Blue,Yellow,1x1,,Kicks,,All Year,1.0.0,Cute,formal; party,No,For sale,BagShoulderParty1,11976,SoJkNi7GNiW28tYuG,BAGS
evening bag,Black,No,1250,312,Black,Yellow,1x1,,Kicks,,All Year,1.0.0,Cute,formal; party,No,For sale,BagShoulderParty2,11977,x9Z63uLS8cHdsoczj,BAGS
extra-large backpack,Red,No,2100,525,Red,Red,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackMountain0,7505,sjT2tZJCMpWQNmhTy,BAGS
extra-large backpack,Green,No,2100,525,Green,Green,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackMountain1,11971,MKeBKrETSTs4tyrg4,BAGS
extra-large backpack,Black,No,2100,525,Black,Black,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackMountain2,11972,HqReXLwGPigWMiJbS,BAGS
extra-large backpack,Blue,No,2100,525,Blue,Blue,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackMountain3,11973,vvEqA5aMBGyycpQFz,BAGS
faux-fur bag,Pink,No,1400,350,Pink,Yellow,1x1,,Kicks,,All Year,1.0.0,Cute,formal; party,No,For sale,BagShoulderFakefur0,7480,FyneYzGmHW7SyoHn7,BAGS
