Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID,tipo
acid-washed jeans,Blue,No,1320,330,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Simple,everyday; outdoorsy,No,For sale,BottomsTexPantsNormalChemical0,5286,QaecPktemD3XuFdwy,BOTTOMS
acid-washed jeans,Black,No,1320,330,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy,No,For sale,BottomsTexPantsNormalChemical1,11385,a7HNjgRFkCznkDLLH,BOTTOMS
animal-stripes skirt,Tiger,No,1100,275,Yellow,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday,No,For sale,BottomsTexSkirtBoxStripe0,9842,qmtHwBmtJDvtNntTs,BOTTOMS
animal-stripes skirt,Zebra,No,1100,275,Gray,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cool,everyday,No,For sale,BottomsTexSkirtBoxStripe1,12067,4mDRmSG3scfXh3oon,BOTTOMS
apron skirt,Purple,No,700,175,White,Purple,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,work,No,For sale,BottomsTexSkirtBoxApron0,5710,MtsvEMQ9Z9damsycd,BOTTOMS
apron skirt,Blue,No,700,175,White,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,work,No,For sale,BottomsTexSkirtBoxApron1,8921,cfzi35RpY8onR3hra,BOTTOMS
apron skirt,Beige,No,700,175,White,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,work,No,For sale,BottomsTexSkirtBoxApron2,8922,AmWS5iMbatqDr2eLs,BOTTOMS
athletic pants,Red,No,880,220,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsNormalJersey0,3311,iL9vd8DerEEJDJQbA,BOTTOMS
athletic pants,Green,No,880,220,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsNormalJersey1,11295,Ygp8L2zeem8ECZroK,BOTTOMS
athletic pants,Black,No,880,220,Black,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsNormalJersey2,11296,8NcTmEpkckocYvTf2,BOTTOMS
athletic pants,Blue,No,880,220,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsNormalJersey3,11297,R6apb74ivZCDbvEvi,BOTTOMS
athletic pants,Berry red,No,880,220,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsNormalJersey4,11298,HSgcZgAkXCBroWboG,BOTTOMS
athletic pants,Navy blue,No,880,220,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsNormalJersey5,11299,zauG7p57gDAPSqPH4,BOTTOMS
athletic shorts,Red,No,560,140,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsHalfJersey0,4518,Pz4KvZgNanynj88ut,BOTTOMS
athletic shorts,Green,No,560,140,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsHalfJersey1,11905,Cgi5fvfgm5YEdCpNu,BOTTOMS
athletic shorts,Black,No,560,140,Black,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsHalfJersey2,11906,XZyRpyaiPbfw5nwTD,BOTTOMS
athletic shorts,Blue,No,560,140,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsHalfJersey3,11907,omNsW8d3EgoAs3tLL,BOTTOMS
athletic shorts,Berry red,No,560,140,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsHalfJersey4,11908,QWxKgGJSnKgHEyz5Y,BOTTOMS
athletic shorts,Navy blue,No,560,140,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,BottomsTexPantsHalfJersey5,11909,wkX3PL2R5dYC8PNJ2,BOTTOMS
basketball shorts,Purple,No,980,245,Purple,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,sporty; work,No,For sale,BottomsTexPantsHalfBasketball0,5720,yTsGx7eQh4JWNdXB2,BOTTOMS
basketball shorts,Red,No,980,245,Red,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,sporty; work,No,For sale,BottomsTexPantsHalfBasketball1,11307,TpYJQMq2Z8tEkK2Wd,BOTTOMS
basketball shorts,Green,No,980,245,Green,Orange,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,sporty; work,No,For sale,BottomsTexPantsHalfBasketball2,11308,KCggjKmE8js3MG6bq,BOTTOMS
basketball shorts,Orange,No,980,245,Orange,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,sporty; work,No,For sale,BottomsTexPantsHalfBasketball3,11309,iHFbTwYkKaqut6RnX,BOTTOMS
basketball shorts,Blue,No,980,245,Blue,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,sporty; work,No,For sale,BottomsTexPantsHalfBasketball4,11310,4iB4fmJjkKNNzWJBS,BOTTOMS
basketball shorts,Yellow,No,980,245,Yellow,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,sporty; work,No,For sale,BottomsTexPantsHalfBasketball5,11311,zjahPrxJ4ZBRcnq74,BOTTOMS
basketball shorts,Light blue,No,980,245,Light blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,sporty; work,No,For sale,BottomsTexPantsHalfBasketball6,11312,iDr7MMuWGDqgsh5Be,BOTTOMS
basketball shorts,Black,No,980,245,Black,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,sporty; work,No,For sale,BottomsTexPantsHalfBasketball7,11313,gRj6pG26jHFQZB8TA,BOTTOMS
bell-bottoms,Orange,No,1320,330,Orange,Orange,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,everyday,No,For sale,BottomsTexPantsWideBellbottoms0,4364,sAGeX7YksW4qTsRz9,BOTTOMS
bell-bottoms,Brown,No,1320,330,Brown,Brown,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,everyday,No,For sale,BottomsTexPantsWideBellbottoms1,9270,AhZR3qCS8owvTgWS9,BOTTOMS
bell-bottoms,Beige,No,1320,330,Beige,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,everyday,No,For sale,BottomsTexPantsWideBellbottoms2,9271,h5fKoKik2BmT6JPAb,BOTTOMS
bell-bottoms,Green,No,1320,330,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Gorgeous,everyday,No,For sale,BottomsTexPantsWideBellbottoms3,9272,tn3suswYrh2ZcD649,BOTTOMS
bell-bottoms,Blue,No,1320,330,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,everyday,No,For sale,BottomsTexPantsWideBellbottoms4,9273,mRdLrYzxuYuP7yqB9,BOTTOMS
belted wraparound skirt,Yellow,No,1040,260,Yellow,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday; comfy,No,For sale,BottomsTexSkirtLongWrap0,4545,6j99icX2C8n2NQSxe,BOTTOMS
belted wraparound skirt,Red,No,1040,260,Red,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday; comfy,No,For sale,BottomsTexSkirtLongWrap1,8721,TuKyTJdQckfqf2nae,BOTTOMS
belted wraparound skirt,Green,No,1040,260,Green,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday; comfy,No,For sale,BottomsTexSkirtLongWrap2,8722,FCtNFz4XG85wdDcbu,BOTTOMS
belted wraparound skirt,Blue,No,1040,260,Blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday; comfy,No,For sale,BottomsTexSkirtLongWrap3,8723,Z3y37JrC5nnCjyFgC,BOTTOMS
boa shorts,Purple,No,1200,300,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexPantsHalfBoa0,5419,hHHSAxKeTKy94FrLh,BOTTOMS
boa shorts,Avocado,No,1200,300,Green,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexPantsHalfBoa1,9114,diDTCzmh2EfcQ8Est,BOTTOMS
boa shorts,Beige,No,1200,300,Beige,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexPantsHalfBoa2,9115,rxrscQDTFaB6T3CS3,BOTTOMS
boa shorts,Blue,No,1200,300,Blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexPantsHalfBoa3,9116,uNMeoCpWFsgQnhyGJ,BOTTOMS
boa shorts,Red,No,1200,300,Red,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexPantsHalfBoa4,9117,Ydd3mZGaYrNupaAop,BOTTOMS
boa shorts,Orange,No,1200,300,Orange,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Yes,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexPantsHalfBoa5,9118,nmpe6DS922LwufDP5,BOTTOMS
boa shorts,Peacock blue,No,1200,300,Light blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexPantsHalfBoa6,9119,y3bqMB4hjKdxHjeRQ,BOTTOMS
boa shorts,Black,No,1200,300,Black,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexPantsHalfBoa7,9120,3Z3cYyfhRkhmDKKKP,BOTTOMS
boa skirt,Green,No,1300,325,Green,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxBoa0,5418,nFzxYepHxpSzdLHrw,BOTTOMS
boa skirt,Blue,No,1300,325,Blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,everyday; outdoorsy,No,For sale,BottomsTexSkirtBoxBoa1,9107,MYjHWe4KXX2bDwP6k,BOTTOMS
