Name,DIY,Stack Size,Buy,Sell,Source,Source Notes,Version,Filename,Internal ID,Unique Entry ID,tipo
bamboo lattice fence,Yes,50,NFS,960,Crafting,,1.0.0,ItemFenceBamboo,3403,XaLnmQsQ47HfHQ9g5,FENCING
barbed-wire fence,Yes,50,NFS,1980,Crafting,,1.0.0,ItemFenceBarbedWire,5213,dNgibaR9jFqaDwuDZ,FENCING
brick fence,Yes,50,NFS,1200,Crafting,,1.0.0,ItemFenceWallRenga,3080,WAzanA7e5MREzJdMh,FENCING
Bunny Day fence,Yes,50,NFS,2400,Crafting,,1.1.0a,ItemFenceEgg,12630,CLQGhAfSNykpxrh3a,FENCING
corral fence,Yes,50,NFS,720,Crafting,,1.0.0,ItemFenceHorizontalWood,4349,rqwqYy7Aphvh5zBSA,FENCING
country fence,Yes,50,NFS,720,Crafting,,1.0.0,ItemFenceLog,4350,twwkbWJ8YsoJEy3j8,FENCING
hedge,Yes,50,NFS,55,Crafting,,1.2.0,ItemFenceIkegaki,12758,TphLYSh2MdogHdheg,FENCING
imperial fence,Yes,50,NFS,1200,Crafting,,1.0.0,ItemFenceChinese,4354,fHqt7TXfbhfKnPbwG,FENCING
iron fence,Yes,50,NFS,4500,Crafting,,1.0.0,ItemFenceSteel,4357,RL5hL24NbwzE7zv3R,FENCING
iron-and-stone fence,Yes,50,NFS,3150,Crafting,,1.0.0,ItemFenceIronAndStone,5206,kjSa4R6JQz2DtWQ2C,FENCING
lattice fence,Yes,50,NFS,960,Crafting,,1.0.0,ItemFenceLatiiceNatural,11712,qBrhYgaCnEiQYouP6,FENCING
rope fence,Yes,50,NFS,3000,Crafting,,1.0.0,ItemFencePegRope,4352,TpruAQnqeeYcDxPRj,FENCING
simple wooden fence,Yes,50,NFS,720,Crafting; Tom Nook,50 fences are given by Tom Nook after completing the three house plots during the main storyline,1.0.0,ItemFenceNatural,11711,bxF62vutvYBw9BTDT,FENCING
spiky fence,Yes,50,NFS,960,Crafting,,1.0.0,ItemFenceSharply,4358,gYccyRpBzpFCLLW56,FENCING
stone fence,Yes,50,NFS,600,Crafting,,1.0.0,ItemFenceStone,5212,ECNmTH3oh3SEDpHCr,FENCING
straw fence,Yes,50,NFS,560,Crafting,,1.0.0,ItemFenceDriedStraw,4356,yp69uEZTdfS9CkisA,FENCING
vertical-board fence,Yes,50,NFS,960,Crafting,,1.0.0,ItemFenceVerticalWood,3402,M9pkSgdAaKgQELi3E,FENCING
wedding fence,Yes,50,NFS,411,Crafting,,1.2.0,ItemFenceJuneBride,12894,68uMh2zjCmeJukYhv,FENCING
zen fence,Yes,50,NFS,3300,Crafting,,1.0.0,ItemFenceJapanese,5207,yZeqREzefxeSiLAaP,FENCING
