Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Type,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID,tipo
acorn knit cap,Chestnut,No,880,220,Brown,Brown,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; comfy,HeadCap,Yes,For sale,CapHatAcorn0,5315,awiucsYWz5zP8GpRg,HEADWEAR
acorn knit cap,Mustard,No,880,220,Yellow,Yellow,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Cute,everyday; comfy,HeadCap,Yes,For sale,CapHatAcorn1,10933,ezAwHKyeN45mGvvpH,HEADWEAR
acorn knit cap,Avocado,No,880,220,Green,Green,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Cute,everyday; comfy,HeadCap,Yes,For sale,CapHatAcorn2,10934,we44e3C8foQySY2y7,HEADWEAR
acorn knit cap,Berry red,No,880,220,Red,Red,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; comfy,HeadCap,Yes,For sale,CapHatAcorn3,10935,EfbMmL5YGZYtZNgHe,HEADWEAR
acorn knit cap,Navy blue,No,880,220,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; comfy,HeadCap,Yes,For sale,CapHatAcorn4,10936,FYrdavXDtZWRQ2MqQ,HEADWEAR
acorn knit cap,Cream,No,880,220,Beige,Beige,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; comfy,HeadCap,Yes,For sale,CapHatAcorn5,10937,XTXWXam7Wjt59MTr8,HEADWEAR
alpinist hat,Green,No,NFS,500,Green,Green,1x1,,Gulliver,,All Year,No,1.0.0,Simple,everyday; formal,HeadCap,Yes,Not for sale,CapHatTyrolean0,5295,mYej2cYc7x6mGC8Dj,HEADWEAR
alpinist hat,Blue,No,NFS,500,Blue,Light blue,1x1,,Gulliver,,All Year,No,1.0.0,Simple,everyday; formal,HeadCap,Yes,Not for sale,CapHatTyrolean1,11884,e45yoPx7fjTd9cSwk,HEADWEAR
alpinist hat,Red,No,NFS,500,Red,Pink,1x1,,Gulliver,,All Year,No,1.0.0,Simple,everyday; formal,HeadCap,Yes,Not for sale,CapHatTyrolean2,11885,mKejTXKMxXnRBkk4B,HEADWEAR
ancient administrator hat,Black,No,NFS,800,Black,Black,1x1,,Gulliver,,All Year,No,1.0.0,Elegant,formal; work,HeadCap,Yes,Not for sale,CapHatKanboBlack,6048,BNBBbdP7uZbY2r3zw,HEADWEAR
apple hat,Red,Yes,NFS,1000,Red,Yellow,1x1,,Crafting,,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,HeadCap,Yes,Not for sale,CapHatApple0,9871,rEpxF8jscsm4fwjSf,HEADWEAR
Aran-knit cap,White,No,880,220,White,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Yes,1.0.0,Simple,everyday; outdoorsy; comfy,HeadCap,Yes,For sale,CapHatAlan0,9864,6Zi8WYr34D8niHAnC,HEADWEAR
Aran-knit cap,Red,No,880,220,Red,Red,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Simple,everyday; outdoorsy; comfy,HeadCap,Yes,For sale,CapHatAlan1,12045,uFfoH47SuuTmAzaXG,HEADWEAR
