Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Filename,Variant ID,Internal ID,Unique Entry ID,tipo
acoustic guitar,Natural,Body,,,Yes,Yes,No,5.0,NFS,3210,Beige,Brown,1x1,,Crafting,,1.0.0,music,,,,Yes,Musical Instrument,No,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_0_0,0_0,383,EpywQXABBcv2dipsP,HOUSEWARES
acoustic guitar,Cherry,Body,,,Yes,Yes,No,5.0,NFS,3210,Red,Black,1x1,,Crafting,,1.0.0,music,,,,Yes,Musical Instrument,No,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_1_0,1_0,383,K9she5Y4SuXA8MGBR,HOUSEWARES
acoustic guitar,Brown,Body,,,Yes,Yes,No,5.0,NFS,3210,Brown,Black,1x1,,Crafting,,1.0.0,music,,,,Yes,Musical Instrument,No,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_2_0,2_0,383,vLq9iphAvALBXazDr,HOUSEWARES
acoustic guitar,Blue,Body,,,Yes,Yes,No,5.0,NFS,3210,Blue,Black,1x1,,Crafting,,1.0.0,music,,,,Yes,Musical Instrument,No,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_3_0,3_0,383,nuqeFzNE5PneqGHaj,HOUSEWARES
acoustic guitar,White,Body,,,Yes,Yes,No,5.0,NFS,3210,White,Black,1x1,,Crafting,,1.0.0,music,,,,Yes,Musical Instrument,No,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_4_0,4_0,383,DotFsojrhCwrLZ3TF,HOUSEWARES
acoustic guitar,Black,Body,,,Yes,Yes,No,5.0,NFS,3210,Black,Black,1x1,,Crafting,,1.0.0,music,,,,Yes,Musical Instrument,No,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_5_0,5_0,383,RuRMFyvWnDC2SoG8m,HOUSEWARES
acoustic guitar,Pink,Body,,,Yes,Yes,No,5.0,NFS,3210,Pink,White,1x1,,Crafting,,1.0.0,music,,,,Yes,Musical Instrument,No,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_6_0,6_0,383,NWv9CJfSPtBTKoL4B,HOUSEWARES
air circulator,White,,,,No,No,No,,1100,275,White,White,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,,,Yes,Fan,Yes,Does not play music,No lighting,For sale,FtrCirculator_Remake_0_0,0_0,3821,J4inuBziPCSGZNEPM,HOUSEWARES
air circulator,Black,,,,No,No,No,,1100,275,Black,Gray,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,,,Yes,Fan,Yes,Does not play music,No lighting,For sale,FtrCirculator_Remake_1_0,1_0,3821,E2dZPSD94isFZWd2F,HOUSEWARES
air circulator,Pink,,,,No,No,No,,1100,275,Pink,Pink,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,,,Yes,Fan,Yes,Does not play music,No lighting,For sale,FtrCirculator_Remake_2_0,2_0,3821,uAY6FFGdXWeAG9gMa,HOUSEWARES
