Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Filename,Variant ID,Internal ID,Unique Entry ID,tipo
accessories stand,White,,,,No,No,No,,1500,375,White,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,,,No,Beauty,No,Does not play music,No lighting,For sale,FtrJewelrystand_Remake_0_0,0_0,3948,GWNqLnfaoEkGSFFkF,MISCELLANEOUS
accessories stand,Pink,,,,No,No,No,,1500,375,Pink,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,,,No,Beauty,No,Does not play music,No lighting,For sale,FtrJewelrystand_Remake_1_0,1_0,3948,Sg24qRStpGERdwjyn,MISCELLANEOUS
accessories stand,Black,,,,No,No,No,,1500,375,Black,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,,,No,Beauty,No,Does not play music,No lighting,For sale,FtrJewelrystand_Remake_2_0,2_0,3948,e5hQbi4JvpYYtRSM7,MISCELLANEOUS
accessories stand,Brown,,,,No,No,No,,1500,375,Brown,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,,,No,Beauty,No,Does not play music,No lighting,For sale,FtrJewelrystand_Remake_3_0,3_0,3948,BXBsfGQsnNfJqkQjm,MISCELLANEOUS
accessories stand,Light blue,,,,No,No,No,,1500,375,Light blue,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,,,No,Beauty,No,Does not play music,No lighting,For sale,FtrJewelrystand_Remake_4_0,4_0,3948,jfpXGQCTjbg65PCD9,MISCELLANEOUS
ACNH Nintendo Switch,,,,,No,No,No,,35960,8990,Green,Light blue,1x1,Nintendo; Nook Shopping,,1.1.0,child's room,living room,,,No,Game Console,No,Does not play music,Emission,For sale,FtrSwitchAC,,12579,4AgPRnxhoQ922pQ4M,MISCELLANEOUS
agrias butterfly model,,,,,No,No,No,,NFS,9000,Pink,Purple,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,,,,,No,Insect,No,Does not play music,No lighting,Not for sale,FtrInsectMiirotatehaToy,,7080,6SKoKnXhrf2dk6JZb,MISCELLANEOUS
aluminum briefcase,Stacks of cash,,,,No,No,No,,100000,25000,Gray,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,expensive,,,Yes,Office,No,Does not play music,No lighting,For sale,FtrDuralumincase_Remake_0_0,0_0,7453,7ovsY7XPNCW3YQAJA,MISCELLANEOUS
aluminum briefcase,Gold bars,,,,No,No,No,,100000,25000,Gray,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,expensive,,,Yes,Office,No,Does not play music,No lighting,For sale,FtrDuralumincase_Remake_1_0,1_0,7453,Yympao5irjJgMNW6d,MISCELLANEOUS
amp,Black,,,,No,No,No,,5100,1275,Black,Brown,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,,,,No,Musical Instrument,No,Does not play music,No lighting,For sale,FtrAmp_Remake_0_0,0_0,849,p7Drmf7Jh2eNhbcos,MISCELLANEOUS
amp,White,,,,No,No,No,,5100,1275,White,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,,,,No,Musical Instrument,No,Does not play music,No lighting,For sale,FtrAmp_Remake_1_0,1_0,849,MyyKQjQLoNwRBxotN,MISCELLANEOUS
amp,Orange,,,,No,No,No,,5100,1275,Orange,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,,,,No,Musical Instrument,No,Does not play music,No lighting,For sale,FtrAmp_Remake_2_0,2_0,849,RvK5HfWmj3JiarEuv,MISCELLANEOUS
amp,Brown,,,,No,No,No,,5100,1275,Brown,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,,,,No,Musical Instrument,No,Does not play music,No lighting,For sale,FtrAmp_Remake_3_0,3_0,849,tBcdytBjuxSm9d2fZ,MISCELLANEOUS
amp,Blue,,,,No,No,No,,5100,1275,Blue,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,,,,No,Musical Instrument,No,Does not play music,No lighting,For sale,FtrAmp_Remake_4_0,4_0,849,AmLfDtSibYyBDrMmY,MISCELLANEOUS
amp,Red,,,,No,No,No,,5100,1275,Red,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,,,,No,Musical Instrument,No,Does not play music,No lighting,For sale,FtrAmp_Remake_5_0,5_0,849,9PHmPyxF6fjKgGzKA,MISCELLANEOUS
amp,Pink,,,,No,No,No,,5100,1275,Pink,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,,,,No,Musical Instrument,No,Does not play music,No lighting,For sale,FtrAmp_Remake_6_0,6_0,849,yivR6nwwzFWyQ5ogM,MISCELLANEOUS
analog kitchen scale,Red,,,,No,No,No,,1100,275,Red,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,,,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,FtrWeighing_Remake_0_0,0_0,3993,6WMJcEFXoWt9mmtvE,MISCELLANEOUS
analog kitchen scale,Yellow,,,,No,No,No,,1100,275,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,,,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,FtrWeighing_Remake_1_0,1_0,3993,YfYgj2jXPy6sip9Qu,MISCELLANEOUS
analog kitchen scale,Green,,,,No,No,No,,1100,275,Green,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,,,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,FtrWeighing_Remake_2_0,2_0,3993,Spi4XHmdPD2CX7xL4,MISCELLANEOUS
analog kitchen scale,Blue,,,,No,No,No,,1100,275,Blue,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,,,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,FtrWeighing_Remake_3_0,3_0,3993,LgKQD3p9WLzfg3GN4,MISCELLANEOUS
analog kitchen scale,Pink,,,,No,No,No,,1100,275,Pink,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,,,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,FtrWeighing_Remake_4_0,4_0,3993,FJHLtvYAkJLBCyvKZ,MISCELLANEOUS
analog kitchen scale,Ivory,,,,No,No,No,,1100,275,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,,,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,FtrWeighing_Remake_5_0,5_0,3993,o8gB7rkjtK8geGeMW,MISCELLANEOUS
analog kitchen scale,Light blue,,,,No,No,No,,1100,275,Light blue,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,,,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,FtrWeighing_Remake_6_0,6_0,3993,Xd3pqsLgpnFeWC46C,MISCELLANEOUS
analog kitchen scale,Black,,,,No,No,No,,1100,275,Black,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,,,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,FtrWeighing_Remake_7_0,7_0,3993,2Sw2GvGbFtnz6Ft7g,MISCELLANEOUS
anchovy model,,,,,No,No,No,,NFS,600,Blue,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,,,,,No,Fish,No,Does not play music,No lighting,Not for sale,FtrFishAntyobiToy,,6999,jqs5hyDDgiozw7D6W,MISCELLANEOUS
