Name,DIY,Stack Size,Buy,Sell,Miles Price,Source,Source Notes,Tag,Color 1,Color 2,Version,Filename,Internal ID,Unique Entry ID,tipo
acorn,No,30,NFS,200.0,,Shaking a hardwood tree (Fall),,,,,1.0.0,DIYAcorn,5727,LWRPyLkySfCNkDvdv,OTHER
apple,No,10,400,500.0,,Apple tree,,,,,1.0.0,Apple,2213,iTWs2LBrcFu8XyDMF,OTHER
apple tree,No,1,NFS,300.0,,Planting an apple,,Plants,,,1.0.0,PltApple4,3360,4BFZn59FMC5eyCKXS,OTHER
Aquarius fragment,No,10,NFS,500.0,,Wishing on shooting stars (January 20 - February 18),,,,,1.0.0,StarpieceAquarius,5986,sHWduQNusYLWRjhzb,OTHER
arched tile path permit,No,1,NFS,,2000.0,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,,,,1.0.0,FtrGroundMakerStonePattern,8776,yDajuWo93WGgTR4bJ,OTHER
Aries fragment,No,10,NFS,500.0,,Wishing on shooting stars (March 21 - April 19),,,,,1.0.0,StarpieceAries,5988,D5JE2Ypt5vZ3C4EM6,OTHER
bamboo piece,No,30,NFS,80.0,,Chopping a bamboo tree,,,,,1.0.0,DIYBamboo,2501,RJpF9Apqi52AqPP25,OTHER
bamboo shoot,No,10,NFS,250.0,,Dig spot near a bamboo tree,,,,,1.0.0,BambooShoot,2295,kTmS9FFMxJFuCS7vr,OTHER
bamboo tree,No,1,NFS,1500.0,,Planting a bamboo shoot,,Plants,,,1.0.0,PltBamboo4,2815,m6And8qdTfySMh9kR,OTHER
Bell bag,No,99,NFS,,,Glowing dig spot,,,,,1.0.0,PhotoStudioBellBag,7731,MwHcZBfqcJ5vJzRqZ,OTHER
Bell voucher,No,1,NFS,,500.0,Nook Miles Redemption,Found under the Special tab of the Nook Miles Redemption service.,,,,1.0.0,BellExchangeTicket,9964,Ekx2qXMQw3nrBxbwC,OTHER
birthday cupcake,No,10,NFS,200.0,,Birthday,,Seasonal Decor,,,1.0.0,BirthdayCupcake,2779,Q5HRfFvkBvPw8TFPR,OTHER
black cosmos,No,10,NFS,240.0,,Picking flowers,,Plants,Black,Green,1.0.0,FlwCosmosBlack,2875,QveR5KriJ63ZvAmQs,OTHER
black lilies,No,10,NFS,80.0,,Picking flowers,,Plants,Black,Green,1.0.0,FlwYuriBlack,2999,GJEkbwJexHSSq3Kvp,OTHER
black roses,No,10,NFS,240.0,,Picking flowers,,Plants,Black,Green,1.0.0,FlwRoseBlack,2955,RAxXqgdwa6Jb3fKFX,OTHER
black tulips,No,10,NFS,80.0,,Picking flowers,,Plants,Black,Green,1.0.0,FlwTulipBlack,2903,WGvGEjXRYjucLHity,OTHER
black wrapping paper,No,10,160,40.0,,Nook's Cranny,,,,,1.0.0,WPaperBlack,7698,e726AGFuzKwPdeNZu,OTHER
black-cosmos plant,No,1,NFS,240.0,,Red/red cosmos,,Plants,,,1.0.0,PltCosmosBlack3,3834,o54h94yBpGiSSfKkr,OTHER
black-lily plant,No,1,NFS,80.0,,Red/red lilies,,Plants,,,1.0.0,PltYuriBlack3,3896,RgsTH72gphGY6AHsK,OTHER
black-rose plant,No,1,NFS,240.0,,Red/red roses,,Plants,,,1.0.0,PltRoseBlack3,3874,suqNAcWRFj6JJZKuk,OTHER
black-tulip plant,No,1,NFS,80.0,,Red/red tulips,,Plants,,,1.0.0,PltTulipBlack3,3848,2aiEhGHeGqQG725zX,OTHER
Blathers's tent marker,No,1,NFS,,,Tom Nook,,,,,1.0.0,MuseumTent,2755,57HSnpzwFHuTfBiyf,OTHER
blue hyacinths,No,10,NFS,80.0,,Picking flowers,,Plants,Blue,Green,1.0.0,FlwHyacinthBlue,3748,K6yui8FLmJvwNcfL4,OTHER
blue ornament,No,10,NFS,50.0,,Shaking a cedar tree (Festive Season),,,,,1.0.0,DIYOrnamentBlue,5731,s38Tms3PpjpWGnFtn,OTHER
blue pansies,No,10,NFS,80.0,,Picking flowers,,Plants,Blue,Green,1.0.0,FlwPansyBlue,2927,mNBAQ7xCjndP63TW8,OTHER
blue roses,No,10,NFS,1000.0,,Picking flowers,,Plants,Blue,Green,1.0.0,FlwRoseBlue,2959,C39ncDcJ44My6qoQm,OTHER
blue windflowers,No,10,NFS,80.0,,Picking flowers,,Plants,Blue,Green,1.0.0,FlwAnemonesBlue,3717,JmHWXFZvvgpJYrg8Z,OTHER
blue wrapping paper,No,10,160,40.0,,Nook's Cranny,,,,,1.0.0,WPaperBlue,7692,FK3PwoipGayPzS4SW,OTHER
blue-hyacinth plant,No,1,NFS,80.0,,White/white hyacinths,,Plants,,,1.0.0,PltHyacinthBlue3,3920,MNT54SyQWEWfaQAc6,OTHER
blue-hydrangea bush,No,1,560,140.0,,,,,,,1.2.0,PltHydrangeaBlue2,3800,trgrtapDMZkkyDfiz,OTHER
