Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID,tipo
antique boots,Brown,No,2640,660,Brown,Brown,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; fairy tale,No,For sale,ShoesKneeAntique0,5523,jQ9MMJXSCde9q8NPP,SHOES
antique boots,Black,No,2640,660,Black,Black,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; fairy tale,No,For sale,ShoesKneeAntique1,11689,hpTunJzb4CJPueMW7,SHOES
antique boots,Greige,No,2640,660,Beige,Beige,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; fairy tale,No,For sale,ShoesKneeAntique2,11690,ngk8sGuhSHQoBmwqv,SHOES
armor shoes,Gray,Yes,NFS,3000,Gray,Gray,1x1,,Crafting,,All Year,No,1.0.0,Cool,fairy tale; goth,No,Not for sale,ShoesKneeKnightIron,5472,osBLFxSiCDnRf8eXR,SHOES
babouches,Blue,No,560,140,Light blue,White,1x1,,Kicks,,All Year,No,1.0.0,Cute,comfy; vacation,No,For sale,ShoesSandalBaboush0,6043,AvkHgWmEW5vTs4Ckc,SHOES
babouches,Orange,No,560,140,Orange,White,1x1,,Kicks,,All Year,No,1.0.0,Cute,comfy; vacation,No,For sale,ShoesSandalBaboush1,10109,hzHj4PYSRpa8fkQey,SHOES
babouches,Pink,No,560,140,Pink,White,1x1,,Kicks,,All Year,No,1.0.0,Cute,comfy; vacation,No,For sale,ShoesSandalBaboush2,10110,KrfcX2z6gFKZziGwx,SHOES
babouches,Yellow,No,560,140,Yellow,White,1x1,,Kicks,,All Year,No,1.0.0,Cute,comfy; vacation,No,For sale,ShoesSandalBaboush3,10111,BRTZYzjci4T3qodP8,SHOES
babouches,Gray,No,560,140,Gray,Yellow,1x1,,Kicks,,All Year,No,1.0.0,Cute,comfy; vacation,No,For sale,ShoesSandalBaboush4,10112,N9jHqLCE8WsfZxJHo,SHOES
babouches,Purple,No,560,140,Purple,Yellow,1x1,,Kicks,,All Year,No,1.0.0,Cute,comfy; vacation,No,For sale,ShoesSandalBaboush5,10113,sth7EXmjdbwzk439A,SHOES
